sim_key,Q,phi,porosity,Frontthick,ice_cover_n,jam_loc_upstream,jam_loc_downstream,ice_vol_head,ice_vol_toe,ice_vol_jam
sim_01_0001,24.5,44.0,0.4,0.77,0.017,1064.14,470.3,13097.8505859375,41650.43359375,28552.5830078125
sim_01_0002,27.8,44.0,0.4,0.75,0.029,1064.14,470.3,13932.2001953125,44011.0546875,30078.8544921875
sim_01_0003,27.8,37.0,0.4,0.77,0.0177,356.1,108.73,3261.114501953125,23234.095703125,19972.981201171875
sim_01_0004,27.8,44.0,0.4,0.24,0.029,1024.92,584.65,4357.10888671875,18438.15234375,14081.04345703125
sim_02_0001,25.2,35.0,0.4,0.62,0.0108,724.22,157.73,5025.12451171875,32768.984375,27743.85986328125
sim_02_0002,25.2,40.0,0.4,0.31,0.0295,1064.14,766.05,6280.61767578125,13979.4326171875,7698.81494140625
sim_02_0003,25.2,55.0,0.4,0.45,0.0251,973.68,766.05,9309.859375,12493.708984375,3183.849609375
sim_02_0004,24.0,35.0,0.4,0.62,0.0251,890.18,672.07,12314.017578125,19016.853515625,6702.8359375
sim_03_0001,27.3,50.0,0.4,0.45,0.0158,724.22,108.73,2091.694580078125,28278.1484375,26186.453857421875
sim_03_0002,33.5,51.0,0.4,0.45,0.0286,973.68,766.05,10558.357421875,14429.6650390625,3871.3076171875
sim_03_0003,27.3,50.0,0.4,0.42,0.0248,973.68,766.05,8802.4560546875,12811.3330078125,4008.876953125
sim_03_0004,27.3,31.0,0.4,0.42,0.0158,1146.55,527.53,7417.7958984375,12811.3330078125,5393.537109375
sim_04_0001,33.7,38.0,0.4,0.41,0.0239,316.85,108.73,3684.526123046875,20667.318359375,16982.792236328125
sim_04_0002,33.7,36.0,0.4,0.22,0.021,766.05,241.2,3335.06982421875,25807.75,22472.68017578125
sim_04_0003,27.3,50.0,0.4,0.38,0.0239,1146.55,527.53,20344.876953125,25807.75,5462.873046875
sim_04_0004,30.2,38.0,0.4,0.41,0.0239,1146.55,527.53,20344.876953125,25807.75,5462.873046875
